2022-06-19/23:23:44		 phishing_20220619_232117.csv: File loaded successfully!!
2022-06-19/23:25:33		 phishing_20220619_232117.csv: File loaded successfully!!
2022-06-19/23:28:50		 phishing_20220619_232117.csv: File loaded successfully!!
2022-06-19/23:53:24		 phishing_20220619_232117.csv: File loaded successfully!!
2022-06-19/23:56:15		 phishing_20220619_232117.csv: File loaded successfully!!
2022-06-20/00:26:51		 phishing_20220619_232117.csv: File loaded successfully!!
2022-06-20/00:26:51		 phishing_20220619_235708.csv: File loaded successfully!!
2022-06-20/00:38:04		 phishing_20220619_232117.csv: File loaded successfully!!
2022-06-20/00:38:04		 phishing_20220619_235708.csv: File loaded successfully!!
2022-06-20/00:38:04		 phishing_20220620_003229.csv: File loaded successfully!!
2022-06-20/00:41:10		 phishing_20220619_232117.csv: File loaded successfully!!
2022-06-20/00:41:11		 phishing_20220619_235708.csv: File loaded successfully!!
2022-06-20/00:41:11		 phishing_20220620_003229.csv: File loaded successfully!!
2022-06-20/00:41:11		 phishing_20220620_004101.csv: File loaded successfully!!
2022-06-20/00:44:57		 phishing_20220619_232117.csv: File loaded successfully!!
2022-06-20/00:44:57		 phishing_20220619_235708.csv: File loaded successfully!!
2022-06-20/00:44:57		 phishing_20220620_003229.csv: File loaded successfully!!
2022-06-20/00:44:57		 phishing_20220620_004101.csv: File loaded successfully!!
2022-06-20/00:44:57		 phishing_20220620_004401.csv: File loaded successfully!!
2022-06-20/00:50:28		 phishing_20220619_232117.csv: File loaded successfully!!
2022-06-20/00:50:28		 phishing_20220619_235708.csv: File loaded successfully!!
2022-06-20/00:50:29		 phishing_20220620_003229.csv: File loaded successfully!!
2022-06-20/00:50:30		 phishing_20220620_004101.csv: File loaded successfully!!
2022-06-20/00:50:30		 phishing_20220620_004401.csv: File loaded successfully!!
2022-06-20/00:50:31		 phishing_20220620_004921.csv: File loaded successfully!!
2022-06-20/00:50:31		 phishing_20220620_005002.csv: File loaded successfully!!
2022-06-20/00:51:47		 phishing_20220619_232117.csv: File loaded successfully!!
2022-06-20/00:51:47		 phishing_20220619_235708.csv: File loaded successfully!!
2022-06-20/00:51:47		 phishing_20220620_003229.csv: File loaded successfully!!
2022-06-20/00:51:48		 phishing_20220620_004101.csv: File loaded successfully!!
2022-06-20/00:51:48		 phishing_20220620_004401.csv: File loaded successfully!!
2022-06-20/00:51:48		 phishing_20220620_004921.csv: File loaded successfully!!
2022-06-20/00:51:48		 phishing_20220620_005002.csv: File loaded successfully!!
2022-06-20/01:20:32		 phishing_20220619_232117.csv: File loaded successfully!!
2022-06-20/01:20:32		 phishing_20220619_235708.csv: File loaded successfully!!
2022-06-20/01:20:32		 phishing_20220620_003229.csv: File loaded successfully!!
2022-06-20/01:20:32		 phishing_20220620_004101.csv: File loaded successfully!!
2022-06-20/01:20:32		 phishing_20220620_004401.csv: File loaded successfully!!
2022-06-20/01:20:32		 phishing_20220620_004921.csv: File loaded successfully!!
2022-06-20/01:20:32		 phishing_20220620_005002.csv: File loaded successfully!!
2022-06-20/01:20:32		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:33		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:34		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:35		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:36		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:36		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:36		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:36		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:36		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:36		 phising_08012020_120000.csv: File loaded successfully!!
2022-06-20/01:20:36		 phising_08012020_120000.csv: File loaded successfully!!
